ASUS X415EA-EK977W / i5-11135G7 / 8GB / 256GB / Win11 / FHD / NumberPAD Laptop 1218780 ,10725,4.7,256,8,Intel Core i7,141,Free Dos,byrteknoloji,ASUS
DMC 49x (pubg Mobilgta 5) I5 347016gb Ram256gb Ssd4gb Rx55023.8 Masaüstü Oyun Bilgisayarý 033255 ,8999,2.4,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
"Apple Macbook Air M2 Çip 16 Gb 512 Gb Ssd 13.6"" Uzay Grisi Notebook Z15t000k6 125034736 ",34999,2.7,500,16,Intel Core i7,141,Mac Os,Emir Technologyy,Apple
"Monster Abra A5 V19.4.6 Intel Core I5-12500h 16gb Ram 1 Tb Ssd 4gb Rtx 3050 Freedos 156"" Fhd 144 Hz ",20999,5.0,500,16,Intel Core i7,141,Free Dos,Monster Notebook,Monster
"RAMTECH Fullforce Ff104 I3 10100 16gb Ram 512gb Ssd 4gb Gtx 1650 238"" Oyuncu Masaüstü Bilgisayar FF104/i3-10100 ",14329,5.0,500,16,Intel Core i7,141,Free Dos,ramtechdonanim,RAMTECH
DMC N179x (pubggta 5) Ryzen 5 5600g16gb Ram256gb Ssd+500gb Hddradeon Apu Oyuncu Bilgisayarý 0108 ,7899,5.0,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
"LENOVO Thinkpad E15 G2 20tes5r6tx I7-1165g7 16 Gb 512 Gb Ssd Mx450 15.6"" Windows 10 Pro 20TES5R6TX ",22549,1.0,500,16,Intel Core i7,141,Free Dos,notebookstore,LENOVO
DMC N168x (gta 5) I5 750 (4 Çekirdekli) 16g Ram256gb Ssd4gb Gt74019masaüstü Oyuncu Bilgisayarý 0008 ,6399,5.0,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
DMC NX42 (PUBGGTA 5) I7-377016gb Ram128gb Ssd+1tb Hdd4GB GT740238 Masaüstü Oyun Bilgisayarý 033249 ,9499,4.3,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
"Apple MacbookPro 14"" M1 Pro 8cCpu 14c Gpu 16Gb512Gb Ssd Grisi Dizüstü Bilgisayar (Apple Türkiye Garantili) MKGP3TU/A ",39898,5.0,500,16,Intel Core i7,141,Mac Os,Trendyol,Apple
BigGameX Rm71 I3-10100f 16gb 512gb Ssd 1tb Hdd 4gb Rx550 23.8 Curved Oyuncu Masaüstü Bilgisayarý RM71 ,11699,5.0,256,16,Intel Core i7,141,Free Dos,AÝZEN BÝLÝÞÝM,BigGameX
LENOVO Legion 5 Amd R7 5800h 16gb 1tb Ssd Rtx3060 Dos 15.6 Wqhd 165 Hz Dizüstü Bilgisayar 82ju015wtx 82JU015WTX ,30099,5.0,500,16,Intel Core i7,141,Free Dos,Teknorya,LENOVO
"Zeiron Gt75 I5-3470 16gb 512gb Ssd 1tb Hdd Gt730 4gb 23.8"" Oyuncu Masaüstü Bilgisayar ZRN-GT75 ",8149,3.7,500,16,Intel Core i7,141,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
MSI PRESTIGE 14 EVO A12M-211TR I7-1280P 16GB LPDDR4 UMA 1TB SSD 14 FHD W11 KOYU GRI ,27999,4.5,500,16,Intel Core i7,141,Free Dos,Buy It,MSI
ASUS X515fa 10.nesil Core I3 10110u-4gb-256gb Ssd-15.6inc-freedos BR039-ONL ,6899,4.5,500,16,Intel Core i7,141,Free Dos,DorukExpress,ASUS
Casper Excalibur G870.1265-DF60X-B Intel Core i7-12650H 32GB RAM 1TB SSD 6GB RTX 3060 Freedos ,26999,5.0,500,16,Intel Core i7,141,Free Dos,EXCALIBUR,Casper
"DMC N90x (GTA 5) I7-86016gb Ram256gb Ssd4gb Gt73024""masaüstü Oyuncu Bilgisayarý 8821 ",6733,4.8,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
METSA Rtx01 Ryzen 5 5500 16gb Ddr4 500gb Ssd Rtx3060 12gb Oyuncu Masaüstü Bilgisayar RTX01 ,16199,5.0,500,16,Intel Core i7,141,Free Dos,METSA BÝLÝÞÝM,METSA
"LENOVO Legion 5 Pro 16ýah7h I7-12700h 16gb 512gb Ssd Rtx 3070 8gb 16"" Wqxga Freedos 82rf00dstx 196380975783 ",49999,5.0,500,8,Intel Core i7,141,Free Dos,TEMPO BÝLGÝSAYAR,LENOVO
"Apple Macbook Air M2 Çip 16 Gb 256 Gb Ssd 13.6"" Yýldýz Iþýðý Notebook Z15y00102 125034741 ",31499,5.0,256,16,Intel Core i7,141,Mac Os,MAT Online,Apple
"Zeiron Rx40 I5-3470 16gb 256gb+1tb Gt730 23.6"" 75 Hz Curved Oyuncu Masaüstü Bilgisayarý ZRN-RX40 ",8349,4.8,500,16,Intel Core i7,141,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
"ASUS Rog Strix G16 G614jv-n3157 13. Nesil Intel I7-13650hx 16gb 512gb Ssd 8gb Rtx4060 16"" Fhd+ 165hz G614JV-N3157 ",36999,4.6,500,16,Intel Core i7,141,Free Dos,GpnTeknoloji,ASUS
"LENOVO V15 Ryzen 7-5700u 16 Gb 512 Gb Ssd 15.6"" Fhd Freedos Taþýnabilir Bilgisayar 82kd0045tx017 82KD0045TX017 ",11921,3.7,500,16,Intel Core i7,141,Free Dos,notebookstore,LENOVO
LENOVO Ideapad Flex 5 Core I3-1115g4/4gb/256gb Ssd/14 Fhd Dokunmatik/win11 82HS00JXTX ,11999,5.0,500,8,Intel Core i7,141,Free Dos,Turko Biliþim,LENOVO
TURBOX Tx1068 i5 650 8GB Ram 128GB SSD 500GB HDD 2GB R5 230 Ekran Kartý Masaüstü Oyun Bilgisayarý ATM00001248 ,3591,5.0,256,16,Intel Core i7,141,Free Dos,Atom Biliþim,TURBOX
ACER Spin 511 R752t-c5y6 Intel Celeron N4120 8 Gb Ram 64 Gb Ssd 11.6 Uhd Katlanabilir Dokunmatik Spin 511 R752T-C5Y6 ,5199,4.5,500,16,Intel Core i7,141,Free Dos,Elena Tek,ACER
